field,value,interpretation,artifact_path,artifact_sha256
outcome,OUTCOME_D,no new full build yet,research/reproduction/independent-result.json,28e3d6ab5ed818a89d5f62706cc24e8b44a5fe93521086589a1c7cfb362ebf7c
recommendation,RECOMMEND_ADDITIONAL_TARGETED_RESEARCH,blocker-closing research only,research/reviews/checkpoint-4-product.json,978c65c77f5ee137745aa279a2da8dfb8229b13ecd244432e80c91c738975526
frontier_status,CURRENT_RESEARCH_FRONTIER_NO_VIABLE_NEXT_BUILD,separate SP-80 status,research/integrated-finalists/status.json,337a451fe3380f1c2169999417cd87372a35545fdc5e278b7c4fd11010da4b6d
one_tx_feasible,NO,not demonstrated; baseline and frontier fail,research/reviews/checkpoint-3-backends.json,c84297a081923a9c2fcdfd1963f5178b337c186fb9201028cb816435564d2416
best_candidate,NONE,zero eligible finalists,research/integrated-finalists/status.json,337a451fe3380f1c2169999417cd87372a35545fdc5e278b7c4fd11010da4b6d
security_qualified_candidates,0,external acceptance open,research/integrated-finalists/status.json,337a451fe3380f1c2169999417cd87372a35545fdc5e278b7c4fd11010da4b6d
eligible_finalists,0,all bundles blocked,research/integrated-finalists/status.json,337a451fe3380f1c2169999417cd87372a35545fdc5e278b7c4fd11010da4b6d
complete_prototypes,0,prototype implementation unauthorized,research/integrated-finalists/status.json,337a451fe3380f1c2169999417cd87372a35545fdc5e278b7c4fd11010da4b6d
robust_two_tx_build,NO,projection fails; full path not evaluated,research/two-call-state/status.json,407538bf1572c859b15bc86a36e4782dafe7ca92ef787ec99385d742bd7e271d
full_engineering_plan,NO,targeted research first,research/reviews/checkpoint-4-product.json,978c65c77f5ee137745aa279a2da8dfb8229b13ecd244432e80c91c738975526
c00_part_a_current_gas_distribution,min=16179681;p50=16664641.5;max=16953270,retained computed transaction scenario; future schedules are not active-network receipts,research/summaries/run-index.csv,6ffb7146836a1a6edd9e762cbd42bf2b41310af7418b643be6e1fee65a8a24aa
c00_part_a_64_gas_distribution,min=16179681;p50=16664641.5;max=16953270,retained computed transaction scenario; future schedules are not active-network receipts,research/summaries/run-index.csv,6ffb7146836a1a6edd9e762cbd42bf2b41310af7418b643be6e1fee65a8a24aa
c00_part_a_96_gas_distribution,min=16179681;p50=16664641.5;max=16953270,retained computed transaction scenario; future schedules are not active-network receipts,research/summaries/run-index.csv,6ffb7146836a1a6edd9e762cbd42bf2b41310af7418b643be6e1fee65a8a24aa
c00_part_b_current_gas_distribution,min=13333063;p50=13959759.5;max=14264492,retained computed transaction scenario; future schedules are not active-network receipts,research/summaries/run-index.csv,6ffb7146836a1a6edd9e762cbd42bf2b41310af7418b643be6e1fee65a8a24aa
c00_part_b_64_gas_distribution,min=13333063;p50=13959759.5;max=14264492,retained computed transaction scenario; future schedules are not active-network receipts,research/summaries/run-index.csv,6ffb7146836a1a6edd9e762cbd42bf2b41310af7418b643be6e1fee65a8a24aa
c00_part_b_96_gas_distribution,min=13333063;p50=13959759.5;max=14264492,retained computed transaction scenario; future schedules are not active-network receipts,research/summaries/run-index.csv,6ffb7146836a1a6edd9e762cbd42bf2b41310af7418b643be6e1fee65a8a24aa
