profile_id,buildable,best_generated_proven_bits,pareto_rank,proof_bytes,prover_ms,peak_rss_bytes,part_a_active_gas,part_b_active_gas,active_margin,gate_status,security_qualified
b2-q111-c16x16-f0-r4,False,,,,,,,,,UNBUILDABLE,False
b3-q96-c16x16-f0-r4,True,87,,513068,725.962,23586406,33745899,28268513,-16968683,SECURITY_BELOW_100,False
b3-q110-c16x16-f0-r4,True,99,,584972,785.514,23586406,38667176,32391004,-21889960,SECURITY_BELOW_100,False
b3-q111-c16x16-f0-r4,True,100,2,590108,789.767,23586406,39018696,32685468,-22241480,TWO_TX_FAIL,False
b3-q112-c16x16-f0-r4,True,100,4,595244,794.021,23586406,39370216,32979932,-22593000,TWO_TX_FAIL,False
b3-q111-c12x12-f0-r4,True,98,,590108,789.767,23586406,39018696,32685468,-22241480,SECURITY_BELOW_100,False
b3-q111-c20x20-f0-r4,True,100,2,590108,789.767,23586406,39018696,32685468,-22241480,TWO_TX_FAIL,False
b3-q111-c16x16-f1-r4,True,100,3,590124,789.767,23586406,39018696,32685468,-22241480,TWO_TX_FAIL,False
b3-q111-c16x16-f0-r2,True,100,1,572628,789.767,23586406,39018696,32685468,-22241480,TWO_TX_FAIL,False
b3-q111-c16x16-f0-r6,True,100,4,607588,789.767,23586406,39018696,32685468,-22241480,TWO_TX_FAIL,False
b4-q32-c16x16-f0-r4,True,56,,208940,604.969,29483008,16664642,13959760,112574,SECURITY_BELOW_100,False
b4-q48-c16x16-f0-r4,True,81,,303404,695.714,29483008,24996962,20939639,-8219746,SECURITY_BELOW_100,False
b4-q64-c16x16-f0-r4,True,84,,397868,786.459,29483008,33329283,27919519,-16552067,SECURITY_BELOW_100,False
b4-q80-c16x16-f0-r4,True,84,,492332,877.204,29483008,41661604,34899399,-24884388,SECURITY_BELOW_100,False
b5-q38-c16x16-f0-r4,True,80,,273548,958.497,41276211,32652282,27352404,-15875066,SECURITY_BELOW_100,False
b5-q48-c16x16-f0-r4,True,82,,340268,1043.571,41276211,41244988,34550405,-24467772,SECURITY_BELOW_100,False
