classification,price_provenance,network,payload_family,payload_kib,scenario_id,l1_base_fee_wei,l1_blob_base_fee_wei,l2_base_fee_wei,op_l1_base_fee_scalar,op_l1_blob_fee_scalar,op_da_footprint_gas_scalar,arbitrum_price_per_unit_wei,scroll_exec_scalar,scroll_blob_scalar,estimator_status,fastlz_size_bytes,op_estimated_size_scaled,op_da_footprint_gas,execution_fee_wei,l1_data_fee_wei,operator_fee_wei,total_fee_wei
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,80,l1-1gwei-blob-1wei,1000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,84572,70701892400,28280400,65771800000000,1131230278470701,0,1197002078470701
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,80,l1-1gwei-blob-10wei,1000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,84572,70701892400,28280400,65771800000000,1131230279107018,0,1197002079107018
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,80,l1-1gwei-blob-100wei,1000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,84572,70701892400,28280400,65771800000000,1131230285470189,0,1197002085470189
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,80,l1-10gwei-blob-1wei,10000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,84572,70701892400,28280400,65771800000000,11312302784070701,0,11378074584070701
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,80,l1-10gwei-blob-10wei,10000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,84572,70701892400,28280400,65771800000000,11312302784707018,0,11378074584707018
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,80,l1-10gwei-blob-100wei,10000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,84572,70701892400,28280400,65771800000000,11312302791070189,0,11378074591070189
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,80,l1-30gwei-blob-1wei,30000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,84572,70701892400,28280400,65771800000000,33936908352070701,0,34002680152070701
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,80,l1-30gwei-blob-10wei,30000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,84572,70701892400,28280400,65771800000000,33936908352707018,0,34002680152707018
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,80,l1-30gwei-blob-100wei,30000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,84572,70701892400,28280400,65771800000000,33936908359070189,0,34002680159070189
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,80,l1-100gwei-blob-1wei,100000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,84572,70701892400,28280400,65771800000000,113123027840070701,0,113188799640070701
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,80,l1-100gwei-blob-10wei,100000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,84572,70701892400,28280400,65771800000000,113123027840707018,0,113188799640707018
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,80,l1-100gwei-blob-100wei,100000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,84572,70701892400,28280400,65771800000000,113123027847070189,0,113188799647070189
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,90,l1-1gwei-blob-1wei,1000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,95127,79531149900,31812400,73929000000000,1272498398479531,0,1346427398479531
