network,chain_id,payload_family,payload_kib,calldata_bytes,payload_sha256,payload_keccak256,calldata_zero_bytes,calldata_nonzero_bytes,eip7623_tokens,regular_intrinsic_gas,eip7623_floor_gas,no_op_calldata_gas,tx_type,tx_nonce,tx_gas_limit,signed_tx_bytes,signed_tx_keccak256,ordinary_sequencer_size_limit_bytes,admission_projection,gas_limit_feasibility,verifier_execution
op-mainnet,10,seeded-incompressible,80,81920,00cb44f9a123a5c28bed5a320d03b6ebf8e6cccbdb580de54bf424211e2fcfa4,0x4212dadf98ea3db39bdb3bd56577f2ec29f3dabc396b09f7aedeaccb36a6e8e9,307,81613,326759,1328036,3288590,3288590,EIP-1559_TYPE_2,7,16777216,82037,0xaac43639c42aff1379eac02e7ff53177c9104824c1e297b09f5bc1804e9fb4b6,131072,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
op-mainnet,10,seeded-incompressible,90,92160,1150df739d4d09dc265e1e44f58fdcc2017e3a6a80cbf4006754ea56836eb159,0xf93741cf2d2e95d9fe4f19b1884be50eb644359136053239e8d64e20eca635e8,365,91795,367545,1491180,3696450,3696450,EIP-1559_TYPE_2,7,16777216,92277,0x7a3838567b03a885d6fe386142b2e1ec576c5c8350ae17b5c30538e5ed5451de,131072,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
op-mainnet,10,seeded-incompressible,110,112640,7a426adfd5e6c9c9810a83b6b3ea5b5576432683369e671c39533ad514b64318,0x301e2e9703a1128e3df5fd1e8e2a9d54a1179bb931ec905d2e7f0452e23b3afa,410,112230,449330,1818320,4514300,4514300,EIP-1559_TYPE_2,7,16777216,112757,0x069dbf52d259dc08c70bda0df7f53f64e1e6850fd8bba0e4d8155c10e7dff6a7,131072,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
op-mainnet,10,seeded-incompressible,116,118784,f12ffa932f5799ca7a258be28f9e96401880c29d343ce627c5be7678d6f90d68,0x685c7e34017d2a33819edb013fc2a308dcd63004ce61c1c75d316044b52176c9,447,118337,473795,1916180,4758950,4758950,EIP-1559_TYPE_2,7,16777216,118901,0xa605a6bb658217445d6cf196344ab266eef98ff991228ee6084e2f5fef8bd37c,131072,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
op-mainnet,10,seeded-incompressible,120,122880,84bfbcff42157a456c2be8cfcd0c0a6988274e9b41746a0f7f0ae060caacdb66,0x82312c4adf39f3f4acb09e19b227a4160692007c820d5e7ad2216d61524dcd80,459,122421,490143,1981572,4922430,4922430,EIP-1559_TYPE_2,7,16777216,122997,0x9b45f904f97cef622b333d14107e3aa76c7dc195936daf096d441845f154eeec,131072,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
op-mainnet,10,seeded-incompressible,128,131072,7cfd2fd48debe92c676705b8df48ce75a5f8fdb1dca248a6dc430e93610e2ed7,0xf1b46a3bba57e25c5d83e42e61c607010d8ce229b66cf69ac53e6225b6ad96c4,470,130602,522878,2112512,5249780,5249780,EIP-1559_TYPE_2,7,16777216,131189,0xc99869093f803f209450962513de4f65d2955bb10750c1cad3ad02666723ff3a,131072,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
op-mainnet,10,seeded-incompressible,160,163840,aefc8d3913fd8d8ef6bf7c1133ab8b597b5c1207888d823013137033fa2e8359,0x4a9d82f02038b0d46509b220d0700ea9ec0afb908f8ca8bf293e4902a95d5db4,583,163257,653611,2635444,6557110,6557110,EIP-1559_TYPE_2,7,16777216,163957,0xcf8db99d6ba0073e53ac0d5648a91cdc3d9e3ce302821d2efee70d124acac85f,131072,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
op-mainnet,10,seeded-incompressible,210,215040,f7ce06a42ebb0aa084aadbb60f593fcfe81223fa7ad36ed21ca63c0c11a467fa,0x5385d1c5a0a7d45828ce8c167edc73b53c405cbaca5871177b08d050265932cc,865,214175,857565,3451260,8596650,8596650,EIP-1559_TYPE_2,7,16777216,215157,0x9b4e1fb6513fa761ad49c0f51709b817319dc9e5ff3475ef9990a95725800b7d,131072,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
op-mainnet,10,repeated,80,81920,c4c8c051d41c36976aa168eb94ddaec9c1a6fa6304b517a3aaaf7935fffce6b2,0x648062204319613e3a3bc5cc50419817f6b895c062c29c509818eeb3ede87b4e,0,81920,327680,1331720,3297800,3297800,EIP-1559_TYPE_2,7,16777216,82037,0xefe565b72839cb09a163c7a2fd8ead45757a0673a5432f46b80a71864ab8d13d,131072,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
op-mainnet,10,repeated,90,92160,b0e24a17485c10987076e4a47c1b30e7cc663406f49f27e167e5bd2f0c502812,0xb89cb83bafc6de4848e7e91eb64d9f10960ea1d7223940cf6a558209d6caaf13,0,92160,368640,1495560,3707400,3707400,EIP-1559_TYPE_2,7,16777216,92277,0x851e42b75617446224656d7097785def9a884abec2df546d3698771bab0956f1,131072,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
op-mainnet,10,repeated,110,112640,e4898be1313e31ca9c29c5180045f278249fc04787b411cafba0fadf56c8d5e5,0xe030d703efe64f78799cbb283fbff2d3f5bf1df0296f65b927ad41f7fa2a4d5d,0,112640,450560,1823240,4526600,4526600,EIP-1559_TYPE_2,7,16777216,112757,0x72708bfaeb3ff4137b94df34e9cd12f154729df45f6c8d184bcc07a13df4c2ee,131072,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
op-mainnet,10,repeated,116,118784,80eb5788d6fda8531ebc10417bf7ffb8b59289e10bad6b5ef2236e03e042288c,0x5ef2a3496687f4943acbc8234c5ea13530e3427d1d13a390e57e4371b3dc0778,0,118784,475136,1921544,4772360,4772360,EIP-1559_TYPE_2,7,16777216,118901,0x174486ac44b6f8e09f2ec9e681f068e716fed14b6c150d7ebb105c8f97b33697,131072,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
op-mainnet,10,repeated,120,122880,1c716ab25e8ee58743a20722c0d18d90b82cd00d93b27c4546ea57574db16863,0xec0e080ea146ac6ca60dbef9f2248b74b8ed601f81b801f44f1daebcf90ee503,0,122880,491520,1987080,4936200,4936200,EIP-1559_TYPE_2,7,16777216,122997,0xaa4682c0ac962773fcde1849a3c38f70d3d6bb761f9694fc54769058fcf7c82f,131072,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
op-mainnet,10,repeated,128,131072,63e7d6d678eff71c3764a45a3b1f1407e202330f3c10505696c96ed816584286,0x1726d8456023b45daca054c937a365a72de9d3d31babd1369ec1ac147cd1525f,0,131072,524288,2118152,5263880,5263880,EIP-1559_TYPE_2,7,16777216,131189,0x328d538f4655448e46c6b1a9ca6f1f99dce1fdc5ad54a0cce17ebd6333698691,131072,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
op-mainnet,10,repeated,160,163840,b3bf181efa6f3a2aa1a5fa0bff97d03df60b1af70378504c5edc67e75ffd71bd,0x7b424d8353c0a0258cf55969c6a0a43f6cb3466d401009e30290551fae623a6d,0,163840,655360,2642440,6574600,6574600,EIP-1559_TYPE_2,7,16777216,163957,0x1583976cc1b25fe1063c869b72c078a3ec28eeea64c287beeeddb8145752e867,131072,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
