scorecard_id,candidate_id,x_metric,x_value,x_direction,y_metric,y_value,y_direction,comparable,exclusion_reason,nondominated,dominated_by
bundle:A,Bundle-A,deposit,,min,withdrawal,,min,false,INCOMPARABLE_NULL_DEPOSIT_AND_WITHDRAWAL,,
bundle:B,Bundle-B,deposit,,min,withdrawal,,min,false,INCOMPARABLE_NULL_DEPOSIT_AND_WITHDRAWAL,,
bundle:C,Bundle-C,deposit,,min,withdrawal,,min,false,INCOMPARABLE_NULL_DEPOSIT_AND_WITHDRAWAL,,
bundle:D,Bundle-D,deposit,,min,withdrawal,,min,false,INCOMPARABLE_NULL_DEPOSIT_AND_WITHDRAWAL,,
bundle:E,Bundle-E,deposit,,min,withdrawal,,min,false,INCOMPARABLE_NULL_DEPOSIT_AND_WITHDRAWAL,,
bundle:F,Bundle-F,deposit,,min,withdrawal,,min,false,INCOMPARABLE_NULL_DEPOSIT_AND_WITHDRAWAL,,
component:C20-hvzk-whir,C20,deposit,,min,withdrawal,,min,false,INCOMPARABLE_NULL_DEPOSIT_AND_WITHDRAWAL,,
component:C30-stir,C30,deposit,,min,withdrawal,,min,false,INCOMPARABLE_NULL_DEPOSIT_AND_WITHDRAWAL,,
component:C40-circle,C40,deposit,,min,withdrawal,,min,false,INCOMPARABLE_NULL_DEPOSIT_AND_WITHDRAWAL,,
component:C50-spartan-whir,C50,deposit,,min,withdrawal,,min,false,INCOMPARABLE_NULL_DEPOSIT_AND_WITHDRAWAL,,
component:C60-recursion,C60,deposit,,min,withdrawal,,min,false,INCOMPARABLE_NULL_DEPOSIT_AND_WITHDRAWAL,,
component:C70-flock-veil,C70,deposit,,min,withdrawal,,min,false,INCOMPARABLE_NULL_DEPOSIT_AND_WITHDRAWAL,,
component:F0,F0,deposit,,min,withdrawal,,min,false,INCOMPARABLE_NULL_DEPOSIT_AND_WITHDRAWAL,,
component:F1,F1,deposit,,min,withdrawal,,min,false,INCOMPARABLE_NULL_DEPOSIT_AND_WITHDRAWAL,,
component:F2,F2,deposit,,min,withdrawal,,min,false,INCOMPARABLE_NULL_DEPOSIT_AND_WITHDRAWAL,,
component:F3,F3,deposit,,min,withdrawal,,min,false,INCOMPARABLE_NULL_DEPOSIT_AND_WITHDRAWAL,,
component:F4,F4,deposit,,min,withdrawal,,min,false,INCOMPARABLE_NULL_DEPOSIT_AND_WITHDRAWAL,,
component:F5,F5,deposit,,min,withdrawal,,min,false,INCOMPARABLE_NULL_DEPOSIT_AND_WITHDRAWAL,,
component:H0,H0,deposit,13991021.0,min,withdrawal,,min,false,INCOMPARABLE_NULL_WITHDRAWAL,,
component:H1,H1,deposit,,min,withdrawal,,min,false,INCOMPARABLE_NULL_DEPOSIT_AND_WITHDRAWAL,,
