scorecard_id,candidate_id,x_metric,x_value,x_direction,y_metric,y_value,y_direction,comparable,exclusion_reason,nondominated,dominated_by
bundle:A,Bundle-A,complexity,,min,performance,,min,false,INCOMPARABLE_NULL_COMPLEXITY_AND_PERFORMANCE,,
bundle:B,Bundle-B,complexity,,min,performance,,min,false,INCOMPARABLE_NULL_COMPLEXITY_AND_PERFORMANCE,,
bundle:C,Bundle-C,complexity,,min,performance,,min,false,INCOMPARABLE_NULL_COMPLEXITY_AND_PERFORMANCE,,
bundle:D,Bundle-D,complexity,,min,performance,,min,false,INCOMPARABLE_NULL_COMPLEXITY_AND_PERFORMANCE,,
bundle:E,Bundle-E,complexity,,min,performance,,min,false,INCOMPARABLE_NULL_COMPLEXITY_AND_PERFORMANCE,,
bundle:F,Bundle-F,complexity,,min,performance,,min,false,INCOMPARABLE_NULL_COMPLEXITY_AND_PERFORMANCE,,
component:C20-hvzk-whir,C20,complexity,,min,performance,,min,false,INCOMPARABLE_NULL_COMPLEXITY_AND_PERFORMANCE,,
component:C30-stir,C30,complexity,,min,performance,,min,false,INCOMPARABLE_NULL_COMPLEXITY_AND_PERFORMANCE,,
component:C40-circle,C40,complexity,,min,performance,,min,false,INCOMPARABLE_NULL_COMPLEXITY_AND_PERFORMANCE,,
component:C50-spartan-whir,C50,complexity,,min,performance,,min,false,INCOMPARABLE_NULL_COMPLEXITY_AND_PERFORMANCE,,
component:C60-recursion,C60,complexity,,min,performance,,min,false,INCOMPARABLE_NULL_COMPLEXITY_AND_PERFORMANCE,,
component:C70-flock-veil,C70,complexity,,min,performance,,min,false,INCOMPARABLE_NULL_COMPLEXITY_AND_PERFORMANCE,,
component:F0,F0,complexity,,min,performance,,min,false,INCOMPARABLE_NULL_COMPLEXITY_AND_PERFORMANCE,,
component:F1,F1,complexity,,min,performance,,min,false,INCOMPARABLE_NULL_COMPLEXITY_AND_PERFORMANCE,,
component:F2,F2,complexity,,min,performance,,min,false,INCOMPARABLE_NULL_COMPLEXITY_AND_PERFORMANCE,,
component:F3,F3,complexity,,min,performance,,min,false,INCOMPARABLE_NULL_COMPLEXITY_AND_PERFORMANCE,,
component:F4,F4,complexity,,min,performance,,min,false,INCOMPARABLE_NULL_COMPLEXITY_AND_PERFORMANCE,,
component:F5,F5,complexity,,min,performance,,min,false,INCOMPARABLE_NULL_COMPLEXITY_AND_PERFORMANCE,,
