scorecard_id,candidate_id,x_metric,x_value,x_direction,y_metric,y_value,y_direction,comparable,exclusion_reason,nondominated,dominated_by
bundle:A,Bundle-A,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
bundle:B,Bundle-B,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
bundle:C,Bundle-C,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
bundle:D,Bundle-D,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
bundle:E,Bundle-E,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
bundle:F,Bundle-F,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:C20-hvzk-whir,C20,proof,36719.0,min,tx,,min,false,INCOMPARABLE_NULL_TX,,
component:C30-stir,C30,proof,17407.0,min,tx,,min,false,INCOMPARABLE_NULL_TX,,
component:C40-circle,C40,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:C50-spartan-whir,C50,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:C60-recursion,C60,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:C70-flock-veil,C70,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:F0,F0,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:F1,F1,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:F2,F2,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:F3,F3,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:F4,F4,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:F5,F5,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:H0,H0,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:H1,H1,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:H2,H2,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:H3,H3,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:H4,H4,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:H5,H5,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:H6,H6,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:H7,H7,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:T0,T0,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:T1,T1,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:T2,T2,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:T3,T3,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:V1,V1,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:V2,V2,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:V3,V3,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:V4,V4,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:V5,V5,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:V6,V6,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:V7,V7,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:V8,V8,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:V9,V9,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:air-geometry,SP-20,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:deposit-batching,deposit-batching,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:hash-compression-common,hash-compression-common,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:merkle-shape,merkle-shape,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:structured-relation,SP-21,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
component:v03-baseline,C00/v03-baseline,proof,198052.0,min,tx,13333063.0,min,true,,true,[]
component:verifier-optimization-common,SP-31/V1-V9,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
minimum:C00,C00,proof,198052.0,min,tx,13333063.0,min,true,,true,[]
minimum:C01,C01,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
minimum:C10,C10,proof,195233.0,min,tx,,min,false,INCOMPARABLE_NULL_TX,,
minimum:C11,C11,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
minimum:C12,C12,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
minimum:C20,C20,proof,36719.0,min,tx,,min,false,INCOMPARABLE_NULL_TX,,
minimum:C21,C21,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
minimum:C22,C22,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
minimum:C23,C23,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
minimum:C30,C30,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
minimum:C40,C40,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
product:aggregation,product-aggregation,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
product:individual-l1,product-individual-l1,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
product:l2,product-l2,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
product:prover-operations,product-prover-operations,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
product:robust-two-call,product-robust-two-call,proof,,min,tx,,min,false,INCOMPARABLE_NULL_PROOF_AND_TX,,
