scorecard_id,candidate_id,x_metric,x_value,x_direction,y_metric,y_value,y_direction,comparable,exclusion_reason,nondominated,dominated_by
bundle:A,Bundle-A,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
bundle:B,Bundle-B,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
bundle:C,Bundle-C,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
bundle:D,Bundle-D,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
bundle:E,Bundle-E,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
bundle:F,Bundle-F,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:C20-hvzk-whir,C20,prover,5.499083,min,tx,,min,false,INCOMPARABLE_NULL_TX,,
component:C30-stir,C30,prover,10.686458,min,tx,,min,false,INCOMPARABLE_NULL_TX,,
component:C40-circle,C40,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:C50-spartan-whir,C50,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:C60-recursion,C60,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:C70-flock-veil,C70,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:F0,F0,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:F1,F1,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:F2,F2,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:F3,F3,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:F4,F4,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:F5,F5,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:H0,H0,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:H1,H1,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:H2,H2,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:H3,H3,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:H4,H4,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:H5,H5,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:H6,H6,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:H7,H7,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:T0,T0,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:T1,T1,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:T2,T2,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:T3,T3,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:V1,V1,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:V2,V2,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:V3,V3,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:V4,V4,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:V5,V5,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:V6,V6,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:V7,V7,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:V8,V8,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:V9,V9,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:air-geometry,SP-20,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:deposit-batching,deposit-batching,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:hash-compression-common,hash-compression-common,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:merkle-shape,merkle-shape,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:structured-relation,SP-21,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
component:v03-baseline,C00/v03-baseline,prover,272.52025000052527,min,tx,13333063.0,min,true,,true,[]
component:verifier-optimization-common,SP-31/V1-V9,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
minimum:C00,C00,prover,272.52025000052527,min,tx,13333063.0,min,true,,true,[]
minimum:C01,C01,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
minimum:C10,C10,prover,265.85141699999997,min,tx,,min,false,INCOMPARABLE_NULL_TX,,
minimum:C11,C11,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
minimum:C12,C12,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
minimum:C20,C20,prover,5.499083,min,tx,,min,false,INCOMPARABLE_NULL_TX,,
minimum:C21,C21,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
minimum:C22,C22,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
minimum:C23,C23,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
minimum:C30,C30,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
minimum:C40,C40,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
product:aggregation,product-aggregation,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
product:individual-l1,product-individual-l1,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
product:l2,product-l2,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
product:prover-operations,product-prover-operations,prover,,min,tx,,min,false,INCOMPARABLE_NULL_PROVER_AND_TX,,
