scorecard_id,candidate_id,x_metric,x_value,x_direction,y_metric,y_value,y_direction,comparable,exclusion_reason,nondominated,dominated_by
bundle:A,Bundle-A,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
bundle:B,Bundle-B,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
bundle:C,Bundle-C,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
bundle:D,Bundle-D,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
bundle:E,Bundle-E,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
bundle:F,Bundle-F,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:C20-hvzk-whir,C20,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:C30-stir,C30,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:C40-circle,C40,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:C50-spartan-whir,C50,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:C60-recursion,C60,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:C70-flock-veil,C70,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:F0,F0,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:F1,F1,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:F2,F2,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:F3,F3,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:F4,F4,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:F5,F5,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:H0,H0,runtime,7198.0,min,verifier,,min,false,INCOMPARABLE_NULL_VERIFIER,,
component:H1,H1,runtime,4956.0,min,verifier,,min,false,INCOMPARABLE_NULL_VERIFIER,,
component:H2,H2,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:H3,H3,runtime,7853.0,min,verifier,,min,false,INCOMPARABLE_NULL_VERIFIER,,
component:H4,H4,runtime,6394.0,min,verifier,,min,false,INCOMPARABLE_NULL_VERIFIER,,
component:H5,H5,runtime,9309.0,min,verifier,,min,false,INCOMPARABLE_NULL_VERIFIER,,
component:H6,H6,runtime,9309.0,min,verifier,,min,false,INCOMPARABLE_NULL_VERIFIER,,
component:H7,H7,runtime,9521.0,min,verifier,,min,false,INCOMPARABLE_NULL_VERIFIER,,
component:T0,T0,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:T1,T1,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:T2,T2,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:T3,T3,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:V1,V1,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:V2,V2,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:V3,V3,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:V4,V4,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:V5,V5,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:V6,V6,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:V7,V7,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:V8,V8,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:V9,V9,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:air-geometry,SP-20,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:deposit-batching,deposit-batching,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:hash-compression-common,hash-compression-common,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:merkle-shape,merkle-shape,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:structured-relation,SP-21,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
component:v03-baseline,C00/v03-baseline,runtime,7494.0,min,verifier,,min,false,INCOMPARABLE_NULL_VERIFIER,,
component:verifier-optimization-common,SP-31/V1-V9,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
minimum:C00,C00,runtime,7494.0,min,verifier,,min,false,INCOMPARABLE_NULL_VERIFIER,,
minimum:C01,C01,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
minimum:C10,C10,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
minimum:C11,C11,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
minimum:C12,C12,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
minimum:C20,C20,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
