scorecard_id,candidate_id,x_metric,x_value,x_direction,y_metric,y_value,y_direction,comparable,exclusion_reason,nondominated,dominated_by
bundle:A,Bundle-A,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
bundle:B,Bundle-B,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
bundle:C,Bundle-C,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
bundle:D,Bundle-D,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
bundle:E,Bundle-E,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
bundle:F,Bundle-F,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:C20-hvzk-whir,C20,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:C30-stir,C30,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:C40-circle,C40,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:C50-spartan-whir,C50,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:C60-recursion,C60,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:C70-flock-veil,C70,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:F0,F0,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:F1,F1,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:F2,F2,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:F3,F3,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:F4,F4,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:F5,F5,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:H0,H0,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:H1,H1,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:H2,H2,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:H3,H3,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:H4,H4,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:H5,H5,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:H6,H6,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
