scorecard_id,candidate_id,x_metric,x_value,x_direction,y_metric,y_value,y_direction,comparable,exclusion_reason,nondominated,dominated_by
bundle:A,Bundle-A,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
bundle:B,Bundle-B,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
bundle:C,Bundle-C,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
bundle:D,Bundle-D,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
bundle:E,Bundle-E,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
bundle:F,Bundle-F,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:C20-hvzk-whir,C20,security,,max,proof,36719.0,min,false,INCOMPARABLE_NULL_SECURITY,,
component:C30-stir,C30,security,,max,proof,17407.0,min,false,INCOMPARABLE_NULL_SECURITY,,
component:C40-circle,C40,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:C50-spartan-whir,C50,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:C60-recursion,C60,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:C70-flock-veil,C70,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:F0,F0,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:F1,F1,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:F2,F2,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:F3,F3,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:F4,F4,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:F5,F5,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:H0,H0,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:H1,H1,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:H2,H2,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:H3,H3,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:H4,H4,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:H5,H5,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:H6,H6,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:H7,H7,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:T0,T0,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:T1,T1,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:T2,T2,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:T3,T3,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:V1,V1,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:V2,V2,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:V3,V3,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:V4,V4,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:V5,V5,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:V6,V6,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:V7,V7,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:V8,V8,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:V9,V9,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:air-geometry,SP-20,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:deposit-batching,deposit-batching,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:hash-compression-common,hash-compression-common,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:merkle-shape,merkle-shape,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:structured-relation,SP-21,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
component:v03-baseline,C00/v03-baseline,security,,max,proof,198052.0,min,false,INCOMPARABLE_NULL_SECURITY,,
component:verifier-optimization-common,SP-31/V1-V9,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
minimum:C00,C00,security,,max,proof,198052.0,min,false,INCOMPARABLE_NULL_SECURITY,,
minimum:C01,C01,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
minimum:C10,C10,security,,max,proof,195233.0,min,false,INCOMPARABLE_NULL_SECURITY,,
minimum:C11,C11,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
minimum:C12,C12,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
minimum:C20,C20,security,,max,proof,36719.0,min,false,INCOMPARABLE_NULL_SECURITY,,
