scorecard_id,candidate_id,x_metric,x_value,x_direction,y_metric,y_value,y_direction,comparable,exclusion_reason,nondominated,dominated_by
bundle:A,Bundle-A,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
bundle:B,Bundle-B,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
bundle:C,Bundle-C,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
bundle:D,Bundle-D,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
bundle:E,Bundle-E,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
bundle:F,Bundle-F,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:C20-hvzk-whir,C20,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:C30-stir,C30,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:C40-circle,C40,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:C50-spartan-whir,C50,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:C60-recursion,C60,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:C70-flock-veil,C70,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:F0,F0,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:F1,F1,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:F2,F2,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:F3,F3,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:F4,F4,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:F5,F5,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:H0,H0,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:H1,H1,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:H2,H2,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:H3,H3,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:H4,H4,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:H5,H5,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:H6,H6,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:H7,H7,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:T0,T0,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:T1,T1,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:T2,T2,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:T3,T3,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:V1,V1,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:V2,V2,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:V3,V3,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:V4,V4,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:V5,V5,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:V6,V6,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:V7,V7,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:V8,V8,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:V9,V9,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:air-geometry,SP-20,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:deposit-batching,deposit-batching,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:hash-compression-common,hash-compression-common,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:merkle-shape,merkle-shape,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:structured-relation,SP-21,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:v03-baseline,C00/v03-baseline,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
component:verifier-optimization-common,SP-31/V1-V9,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
minimum:C00,C00,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
minimum:C01,C01,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
minimum:C10,C10,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
minimum:C11,C11,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
minimum:C12,C12,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
minimum:C20,C20,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
minimum:C21,C21,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
minimum:C22,C22,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
minimum:C23,C23,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
minimum:C30,C30,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
minimum:C40,C40,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
product:aggregation,product-aggregation,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
product:individual-l1,product-individual-l1,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
product:l2,product-l2,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
product:prover-operations,product-prover-operations,total,,min,amortized,,min,false,INCOMPARABLE_NULL_TOTAL_AND_AMORTIZED,,
