profile_id,target_count_log2,regime,term,formula_source,formula,inputs,classical_bits,quantum_bits,proof_status,binding_classical,binding_quantum,applies,omissions
v03-q32-width190-batch210,0,random_words,air-random-linear-combination,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/air.rs:1-16,b = log2(|F|) - log2(L+) - log2(num_constraints),"{""field_bits"":120.0,""list_size"":1.0,""num_constraints"":1186}",109.788111705,109.788111705,conjectural-random-words,False,False,True,
v03-q32-width190-batch210,0,random_words,deep-ali,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/deep.rs:1-28,b = log2(|F|) - log2(L+) - log2(max_deg*(k+max_combo-1)+(k-1)),"{""field_bits"":120.0,""k"":512,""list_size"":1.0,""max_combo"":2,""max_constraint_degree"":7}",107.997888224,107.997888224,conjectural-random-words,True,True,True,
v03-q32-width190-batch210,0,random_words,fri-query-phase,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/fri.rs:80-99; ePrint 2025/2010 sec. 1.5,b = num_queries*(-log2(rho+eta)) + grinding; eta=((log2(e)+log_blowup)*rho)/field_bits,"{""configured_grinding_bits"":16,""eta"":0.002834737000463002,""field_bits"":120,""num_queries"":32,""rho"":0.0625}",141.952190263,133.952190263,conjectural-random-words,False,False,True,
v03-q32-width190-batch210,0,random_words,fri-commit-phase,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/fri.rs:101-143,b = log2(|F|) - log2((folding-1)*(n+1)) + grinding,"{""configured_grinding_bits"":16,""field_bits"":120,""folding_factor"":2,""n"":8192,""pinned_security_num_layers_guard"":13}",122.999823901,114.999823901,proven-within-conjectural-composite,False,False,True,
v03-q32-width190-batch210,0,random_words,batched-opening-proximity,"Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/stark.rs:28-101,147-231,279-340",no accepted random-words analogue in pinned implementation,"{""num_batched_functions"":210}",,,omitted-unmodeled,False,False,False,Random-words does not model the batched-opening proximity term; num_batched_functions is ignored by the pinned conjectural path. Actual num_batched_functions=210; this result is optimistic.
v03-q32-width190-batch210,0,random_words,fri-final-phase,"Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: uni-stark/src/security.rs:174-183,244-279,283-349",deterministic final-polynomial degree/length check; no probabilistic error term,"{""declared_bound"":1,""fri_log_final_poly_len"":0}",,,deterministic-check,False,False,False,
v03-q32-width190-batch210,0,random_words,commit-grinding-adjustment,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/grinding.rs:1-54,commit-phase delta bits = g classically; g/2 under the configured Grover-style quantum model,"{""configured_grinding_bits"":16,""site"":""FRI commit challenge""}",16.0,8.0,cost-model-adjustment,False,False,False,"Already included in fri-commit-phase; informational row, not an independent binding term."
v03-q32-width190-batch210,0,random_words,query-grinding-adjustment,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/grinding.rs:1-54,query-phase delta bits = g classically; g/2 under the configured Grover-style quantum model,"{""configured_grinding_bits"":16,""site"":""FRI query challenge""}",16.0,8.0,cost-model-adjustment,False,False,False,"Already included in fri-query-phase; informational row, not an independent binding term."
v03-q32-width190-batch210,0,random_words,challenge-field-ceiling,"Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: uni-stark/src/security.rs:174-183,244-279,283-349",b <= conservative challenge-field budget,"{""challenge_field_bits"":120,""extension_field_bits"":124}",120.0,120.0,assumption,False,False,True,
v03-q32-width190-batch210,0,random_words,mmcs-binding,Manifest assumption; not derived by p3-security,b <= stated MMCS binding security,"{""construction"":""KeccakPair512 manifest-assumed binding cap""}",128.0,128.0,assumption-unreviewed,False,False,True,This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem.
v03-q32-width190-batch210,0,random_words,hiding-degree-padding,"Plonky3 pinned uni-stark/src/security.rs:249-251,326-330",proof_degree_bits = logical_degree_bits + hiding_degree_padding_bits,"{""hiding_degree_padding_bits"":1,""is_zk"":true,""logical_degree_bits"":8,""logical_trace_height"":256,""proof_degree_bits"":9}",,,accounting-input,False,False,False,
v03-q32-width190-batch210,0,udr,air-random-linear-combination,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/air.rs:1-16,b = log2(|F|) - log2(L+) - log2(num_constraints),"{""field_bits"":120.0,""list_size"":1.0,""num_constraints"":1186}",109.788111705,109.788111705,proven,False,False,True,
v03-q32-width190-batch210,0,udr,deep-ali,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/deep.rs:1-28,b = log2(|F|) - log2(L+) - log2(max_deg*(k+max_combo-1)+(k-1)),"{""field_bits"":120.0,""k"":512,""list_size"":1.0,""max_combo"":2,""max_constraint_degree"":7}",107.997888224,107.997888224,proven,False,False,True,
v03-q32-width190-batch210,0,udr,fri-query-phase,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/fri.rs:196-202,b = -num_queries*log2(alpha) + grinding,"{""alpha"":0.5313720703125,""configured_grinding_bits"":16,""num_queries"":32}",45.190582247,37.190582247,proven,True,True,True,
v03-q32-width190-batch210,0,udr,fri-commit-phase,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/fri.rs:101-143,b = log2(|F|) - log2((folding-1)*(n+1)) + grinding,"{""configured_grinding_bits"":16,""field_bits"":120,""folding_factor"":2,""n"":8192,""pinned_security_num_layers_guard"":13}",122.999823901,114.999823901,proven,False,False,True,
