scorecard_id,candidate_id,candidate_kind,title,manifest_path,reported_status,security_qualified,integration_eligible,hard_gate_status,table_id,logical_rows,padded_rows,base_degree_bits,hiding_degree_bits,trace_width,preprocessed_width,constraint_count,max_degree,quotient_chunks,batched_functions,rotations,active_rows,padding_rows,source_run_id,artifact_path,artifact_sha256,scorecard_path
bundle:A,Bundle-A,bundle,optimized Poseidon2 compression + vertical AIR + hiding FRI,,BLOCKED_NO_ELIGIBLE_COMPONENTS,false,false,FAIL,,,,,,,,,,,,,,,,research/integrated-finalists/status.json,337a451fe3380f1c2169999417cd87372a35545fdc5e278b7c4fd11010da4b6d,research/report-synthesis/scorecards/bundle--A.json
bundle:B,Bundle-B,bundle,optimized compression/AIR + HVZK-WHIR,,BLOCKED_NO_ELIGIBLE_COMPONENTS,false,false,FAIL,,,,,,,,,,,,,,,,research/integrated-finalists/status.json,337a451fe3380f1c2169999417cd87372a35545fdc5e278b7c4fd11010da4b6d,research/report-synthesis/scorecards/bundle--B.json
bundle:C,Bundle-C,bundle,structured relation + Spartan-WHIR/HVZK,,BLOCKED_NO_ELIGIBLE_COMPONENTS,false,false,FAIL,,,,,,,,,,,,,,,,research/integrated-finalists/status.json,337a451fe3380f1c2169999417cd87372a35545fdc5e278b7c4fd11010da4b6d,research/report-synthesis/scorecards/bundle--C.json
bundle:D,Bundle-D,bundle,optimized inner proof + transparent recursion,,BLOCKED_NO_ELIGIBLE_COMPONENTS,false,false,FAIL,,,,,,,,,,,,,,,,research/integrated-finalists/status.json,337a451fe3380f1c2169999417cd87372a35545fdc5e278b7c4fd11010da4b6d,research/report-synthesis/scorecards/bundle--D.json
bundle:E,Bundle-E,bundle,Keccak relation + Flock + ZK/outer compression,,BLOCKED_NO_ELIGIBLE_COMPONENTS,false,false,FAIL,,,,,,,,,,,,,,,,research/integrated-finalists/status.json,337a451fe3380f1c2169999417cd87372a35545fdc5e278b7c4fd11010da4b6d,research/report-synthesis/scorecards/bundle--E.json
bundle:F,Bundle-F,bundle,robust two-call fallback,,BLOCKED_NO_ELIGIBLE_COMPONENTS,false,false,FAIL,,,,,,,,,,,,,,,,research/integrated-finalists/status.json,337a451fe3380f1c2169999417cd87372a35545fdc5e278b7c4fd11010da4b6d,research/report-synthesis/scorecards/bundle--F.json
component:C20-hvzk-whir,C20,component,Pinned native HidingWhirPcs upstream smoke,research/candidates/C20-hvzk-whir/manifest.json,DEFERRED,false,false,FAIL,,4096,4096,,,12,,,,,,,,,,research/run-records/evidence-manifest.json,aef65406d4bae1f7c1c9a84eaf6bf6672fb9b136e8ad17567ef1897165921ce3,research/report-synthesis/scorecards/component--C20-hvzk-whir.json
component:C30-stir,C30,component,Pinned TwoAdicStirPcs non-hiding lower-bound smoke,research/candidates/C30-stir/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,4096,4096,,,1,,,,,,,,,,research/run-records/evidence-manifest.json,aef65406d4bae1f7c1c9a84eaf6bf6672fb9b136e8ad17567ef1897165921ce3,research/report-synthesis/scorecards/component--C30-stir.json
component:C40-circle,C40,component,Pinned CirclePcs source watch,research/candidates/C40-circle/manifest.json,DEFERRED,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/C40-circle/manifest.json,e0569e088a2ae409f7f04e0223b16589e5de41f52b290c9c84d5ed72758e8ea8,research/report-synthesis/scorecards/component--C40-circle.json
component:C50-spartan-whir,C50,component,Spartan-WHIR native full-ZK and standalone Solidity-WHIR controls,research/candidates/C50-spartan-whir/manifest.json,DEFERRED,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/C50-spartan-whir/manifest.json,658b1b89f4b9524e580a0d43deba3712fe0409504e14d173c3c3d0a322f17d9c,research/report-synthesis/scorecards/component--C50-spartan-whir.json
component:C60-recursion,C60,component,Plonky3 recursive proof architecture control,research/candidates/C60-recursion/manifest.json,DEFERRED,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/C60-recursion/manifest.json,722e0a842b155457110f7a93e9cc60f5b8f3bdfece7c76845e6e5732fb965f4f,research/report-synthesis/scorecards/component--C60-recursion.json
component:C70-flock-veil,C70,component,Historical Flock Keccak and VEIL adapter controls,research/candidates/C70-flock-veil/manifest.json,FLOCK_STOP_VEIL_DEFERRED,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/C70-flock-veil/manifest.json,56ccc18e695a3dc4d60b5e8f811ca69292f11f085dcc3a334339f0d4410c9449,research/report-synthesis/scorecards/component--C70-flock-veil.json
component:F0,F0,component,F0,research/candidates/F0/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/F0/manifest.json,15bc02d816cd15fdf37157255a275c24a38bfed0538afaa0184a52c7bf6f2550,research/report-synthesis/scorecards/component--F0.json
component:F1,F1,component,F1,research/candidates/F1/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/F1/manifest.json,3a0689ad14b131064b4b5662da7afcc2632265fb81c94d0b3fdd20663ed24302,research/report-synthesis/scorecards/component--F1.json
component:F2,F2,component,F2,research/candidates/F2/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/F2/manifest.json,4392d3705179aca1360a1363527d8799292c177660ccdc4812e55c634331c32f,research/report-synthesis/scorecards/component--F2.json
component:F3,F3,component,F3,research/candidates/F3/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/F3/manifest.json,bf040bc02c58a30fa07db492ca57a6b1baa8f55ef24e833094b211ec76f0fd23,research/report-synthesis/scorecards/component--F3.json
component:F4,F4,component,F4,research/candidates/F4/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/F4/manifest.json,a08a4383df7afc8bc2c03c78effb5d45142d1b379d450efe8527f66d468f6c04,research/report-synthesis/scorecards/component--F4.json
component:F5,F5,component,F5,research/candidates/F5/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/F5/manifest.json,3dc1656a0104eda292df18b493a69d7250a217c0b167fafc079a8e1dad418329,research/report-synthesis/scorecards/component--F5.json
component:H0,H0,component,Current width-16 P2BB512 sponge baseline,research/candidates/H0/manifest.json,BENCHMARK_ONLY,false,false,FAIL,,,,,,,,,,,,,,,,research/candidates/H0/manifest.json,382b95fe528a27eb099e4703e5314eeca766f79ceb18019d8935c9f277a460f8,research/report-synthesis/scorecards/component--H0.json
