scorecard_id,candidate_id,candidate_kind,reported_gate_status,security_qualified,integration_eligible,suggested_score,score_coverage_percent,alternative_scores,sensitivity_range,hard_gate_override,scorecard_path,score_provenance
bundle:A,Bundle-A,bundle,BLOCKED_NO_ELIGIBLE_COMPONENTS,false,false,0.0,30,"{""gas_heavy"":0.0,""operations_heavy"":0.0,""security_heavy"":0.0}",0.0,false,research/report-synthesis/scorecards/bundle--A.json,"[{""artifact_path"":""research/integrated-finalists/outputs/results.json"",""artifact_sha256"":""98334597a3e55cba1d6e7da8ab3ab99af451ae7d96fe7fe423480d45131abedb"",""source_run_id"":null},{""artifact_path"":""research/integrated-finalists/status.json"",""artifact_sha256"":""337a451fe3380f1c2169999417cd87372a35545fdc5e278b7c4fd11010da4b6d"",""source_run_id"":null},{""artifact_path"":""research/reviews/checkpoint-3-backends.json"",""artifact_sha256"":""c84297a081923a9c2fcdfd1963f5178b337c186fb9201028cb816435564d2416"",""source_run_id"":null}]"
bundle:B,Bundle-B,bundle,BLOCKED_NO_ELIGIBLE_COMPONENTS,false,false,0.0,30,"{""gas_heavy"":0.0,""operations_heavy"":0.0,""security_heavy"":0.0}",0.0,false,research/report-synthesis/scorecards/bundle--B.json,"[{""artifact_path"":""research/integrated-finalists/outputs/results.json"",""artifact_sha256"":""98334597a3e55cba1d6e7da8ab3ab99af451ae7d96fe7fe423480d45131abedb"",""source_run_id"":null},{""artifact_path"":""research/integrated-finalists/status.json"",""artifact_sha256"":""337a451fe3380f1c2169999417cd87372a35545fdc5e278b7c4fd11010da4b6d"",""source_run_id"":null},{""artifact_path"":""research/reviews/checkpoint-3-backends.json"",""artifact_sha256"":""c84297a081923a9c2fcdfd1963f5178b337c186fb9201028cb816435564d2416"",""source_run_id"":null}]"
bundle:C,Bundle-C,bundle,BLOCKED_NO_ELIGIBLE_COMPONENTS,false,false,0.0,30,"{""gas_heavy"":0.0,""operations_heavy"":0.0,""security_heavy"":0.0}",0.0,false,research/report-synthesis/scorecards/bundle--C.json,"[{""artifact_path"":""research/integrated-finalists/outputs/results.json"",""artifact_sha256"":""98334597a3e55cba1d6e7da8ab3ab99af451ae7d96fe7fe423480d45131abedb"",""source_run_id"":null},{""artifact_path"":""research/integrated-finalists/status.json"",""artifact_sha256"":""337a451fe3380f1c2169999417cd87372a35545fdc5e278b7c4fd11010da4b6d"",""source_run_id"":null},{""artifact_path"":""research/reviews/checkpoint-3-backends.json"",""artifact_sha256"":""c84297a081923a9c2fcdfd1963f5178b337c186fb9201028cb816435564d2416"",""source_run_id"":null}]"
bundle:D,Bundle-D,bundle,BLOCKED_NO_ELIGIBLE_COMPONENTS,false,false,0.0,30,"{""gas_heavy"":0.0,""operations_heavy"":0.0,""security_heavy"":0.0}",0.0,false,research/report-synthesis/scorecards/bundle--D.json,"[{""artifact_path"":""research/integrated-finalists/outputs/results.json"",""artifact_sha256"":""98334597a3e55cba1d6e7da8ab3ab99af451ae7d96fe7fe423480d45131abedb"",""source_run_id"":null},{""artifact_path"":""research/integrated-finalists/status.json"",""artifact_sha256"":""337a451fe3380f1c2169999417cd87372a35545fdc5e278b7c4fd11010da4b6d"",""source_run_id"":null},{""artifact_path"":""research/reviews/checkpoint-3-backends.json"",""artifact_sha256"":""c84297a081923a9c2fcdfd1963f5178b337c186fb9201028cb816435564d2416"",""source_run_id"":null}]"
bundle:E,Bundle-E,bundle,BLOCKED_NO_ELIGIBLE_COMPONENTS,false,false,0.0,30,"{""gas_heavy"":0.0,""operations_heavy"":0.0,""security_heavy"":0.0}",0.0,false,research/report-synthesis/scorecards/bundle--E.json,"[{""artifact_path"":""research/integrated-finalists/outputs/results.json"",""artifact_sha256"":""98334597a3e55cba1d6e7da8ab3ab99af451ae7d96fe7fe423480d45131abedb"",""source_run_id"":null},{""artifact_path"":""research/integrated-finalists/status.json"",""artifact_sha256"":""337a451fe3380f1c2169999417cd87372a35545fdc5e278b7c4fd11010da4b6d"",""source_run_id"":null},{""artifact_path"":""research/reviews/checkpoint-3-backends.json"",""artifact_sha256"":""c84297a081923a9c2fcdfd1963f5178b337c186fb9201028cb816435564d2416"",""source_run_id"":null}]"
bundle:F,Bundle-F,bundle,BLOCKED_NO_ELIGIBLE_COMPONENTS,false,false,0.0,30,"{""gas_heavy"":0.0,""operations_heavy"":0.0,""security_heavy"":0.0}",0.0,false,research/report-synthesis/scorecards/bundle--F.json,"[{""artifact_path"":""research/integrated-finalists/outputs/results.json"",""artifact_sha256"":""98334597a3e55cba1d6e7da8ab3ab99af451ae7d96fe7fe423480d45131abedb"",""source_run_id"":null},{""artifact_path"":""research/integrated-finalists/status.json"",""artifact_sha256"":""337a451fe3380f1c2169999417cd87372a35545fdc5e278b7c4fd11010da4b6d"",""source_run_id"":null},{""artifact_path"":""research/reviews/checkpoint-3-backends.json"",""artifact_sha256"":""c84297a081923a9c2fcdfd1963f5178b337c186fb9201028cb816435564d2416"",""source_run_id"":null}]"
component:C20-hvzk-whir,C20,component,DEFERRED,false,false,3.333333,30,"{""gas_heavy"":4.0,""operations_heavy"":6.666667,""security_heavy"":2.222222}",4.444445,false,research/report-synthesis/scorecards/component--C20-hvzk-whir.json,"[{""artifact_path"":""research/candidates/C20-hvzk-whir/manifest.json"",""artifact_sha256"":""b82b84584c1174ca14fdf66c6b2d99a1ac1917120efcfe18d8d073ee6c13b802"",""source_run_id"":null},{""artifact_path"":""research/candidates/C20-hvzk-whir/status.json"",""artifact_sha256"":""704e9713f6a89a69481fb09e9e5366629cf70035142128d5dff75794a118b355"",""source_run_id"":null}]"
component:C30-stir,C30,component,BENCHMARK_ONLY,false,false,3.333333,30,"{""gas_heavy"":4.0,""operations_heavy"":6.666667,""security_heavy"":2.222222}",4.444445,false,research/report-synthesis/scorecards/component--C30-stir.json,"[{""artifact_path"":""research/candidates/C30-stir/manifest.json"",""artifact_sha256"":""597ff2e50f3f5b73d3c5d91225efebda5c485e021e5a9f435be8bc5e1aae3d74"",""source_run_id"":null},{""artifact_path"":""research/candidates/C30-stir/status.json"",""artifact_sha256"":""2de22d525da839a8939d62d35fdd7963559fac9de581a1aed99467d424942fe3"",""source_run_id"":null}]"
component:C40-circle,C40,component,DEFERRED,false,false,3.333333,30,"{""gas_heavy"":4.0,""operations_heavy"":6.666667,""security_heavy"":2.222222}",4.444445,false,research/report-synthesis/scorecards/component--C40-circle.json,"[{""artifact_path"":""research/candidates/C40-circle/manifest.json"",""artifact_sha256"":""e0569e088a2ae409f7f04e0223b16589e5de41f52b290c9c84d5ed72758e8ea8"",""source_run_id"":null},{""artifact_path"":""research/candidates/C40-circle/status.json"",""artifact_sha256"":""0f02c185f5bb8216df09efacab905812d1a9765b18a5c6bdd06098035213844a"",""source_run_id"":null}]"
component:C50-spartan-whir,C50,component,DEFERRED,false,false,3.333333,30,"{""gas_heavy"":4.0,""operations_heavy"":6.666667,""security_heavy"":2.222222}",4.444445,false,research/report-synthesis/scorecards/component--C50-spartan-whir.json,"[{""artifact_path"":""research/candidates/C50-spartan-whir/manifest.json"",""artifact_sha256"":""658b1b89f4b9524e580a0d43deba3712fe0409504e14d173c3c3d0a322f17d9c"",""source_run_id"":null},{""artifact_path"":""research/candidates/C50-spartan-whir/status.json"",""artifact_sha256"":""e31f38dd317166fd7e2ba01b8c59e2570df4c809953aa215b889609567d130ae"",""source_run_id"":null}]"
