candidate_id,run_id,operation,execution_gas,standard_intrinsic,eip7623_floor,eip7623_total,eip7976_floor,eip7976_total,eip8311_floor,eip8311_total,tx_cap_margin,runtime_bytes,initcode_bytes,deployment_gas
H0,research-sp10-h0-gas,completeDirectDepositGas,13991021,,,,,,,,,7198,7287,
H0,research-sp10-h0-gas,depth20ComputeOnlyInsertionGas,127632688,,,,,,,,,7198,7287,
H0,research-sp10-h0-gas,nodeGas,6376977,,,,,,,,,7198,7287,
H0,research-sp10-h0-gas,noteGas,6372610,,,,,,,,,7198,7287,
H0,research-sp10-h0-gas,nullifierGas,5214202,,,,,,,,,7198,7287,
H0,research-sp10-h0-gas,permutationGas,580194,,,,,,,,,7198,7287,
H0,research-sp10-h0-gas,syntheticDepth20RootUpdateGas,127952851,,,,,,,,,7198,7287,
H0,research-sp10-h0-gas,zeroTreeConstructorGas,128335918,,,,,,,,,7198,7287,
H1,research-sp10-h1-gas,compressionGas,583127,,,,,,,,,4956,5045,
H1,research-sp10-h1-gas,permutationGas,580117,,,,,,,,,4956,5045,
H3,research-sp10-h3-gas,compressionGas,1213539,,,,,,,,,7853,7991,
H3,research-sp10-h3-gas,depth20ComputeOnlyInsertionGas,24515016,,,,,,,,,7853,7991,
H3,research-sp10-h3-gas,nodeGas,1222559,,,,,,,,,7853,7991,
H3,research-sp10-h3-gas,noteGas,1219339,,,,,,,,,7853,7991,
H3,research-sp10-h3-gas,nullifierGas,1219298,,,,,,,,,7853,7991,
H3,research-sp10-h3-gas,permutationGas,1209466,,,,,,,,,7853,7991,
H3,research-sp10-h3-gas,syntheticDepth20RootUpdateGas,24715122,,,,,,,,,7853,7991,
H3,research-sp10-h3-gas,zeroTreeConstructorGas,25086148,,,,,,,,,7853,7991,
H4,research-sp10-h4-gas,compressionGas,1213864,,,,,,,,,6394,6483,
H4,research-sp10-h4-gas,permutationGas,1209411,,,,,,,,,6394,6483,
H5,research-sp10-h5-gas,compressionGas,2149106,,,,,,,,,9309,9447,
H5,research-sp10-h5-gas,depth20ComputeOnlyInsertionGas,43258198,,,,,,,,,9309,9447,
H5,research-sp10-h5-gas,nodeGas,2159231,,,,,,,,,9309,9447,
H5,research-sp10-h5-gas,noteGas,2155417,,,,,,,,,9309,9447,
H5,research-sp10-h5-gas,nullifierGas,2155376,,,,,,,,,9309,9447,
H5,research-sp10-h5-gas,permutationGas,2144381,,,,,,,,,9309,9447,
H5,research-sp10-h5-gas,syntheticDepth20RootUpdateGas,43498324,,,,,,,,,9309,9447,
H5,research-sp10-h5-gas,zeroTreeConstructorGas,43873396,,,,,,,,,9309,9447,
H6,research-sp10-h6-gas,compressionGas,2149900,,,,,,,,,9309,9447,
H6,research-sp10-h6-gas,depth20ComputeOnlyInsertionGas,43326828,,,,,,,,,9309,9447,
H6,research-sp10-h6-gas,nodeGas,2162174,,,,,,,,,9309,9447,
H6,research-sp10-h6-gas,noteGas,2157766,,,,,,,,,9309,9447,
H6,research-sp10-h6-gas,nullifierGas,2157725,,,,,,,,,9309,9447,
H6,research-sp10-h6-gas,permutationGas,2144381,,,,,,,,,9309,9447,
H6,research-sp10-h6-gas,syntheticDepth20RootUpdateGas,43606974,,,,,,,,,9309,9447,
H6,research-sp10-h6-gas,zeroTreeConstructorGas,43986066,,,,,,,,,9309,9447,
H7,research-sp10-h7-gas,depth20ComputeOnlyInsertionGas,509474048,,,,,,,,,9521,9547,
H7,research-sp10-h7-gas,nodeGas,25469045,,,,,,,,,9521,9547,
H7,research-sp10-h7-gas,noteGas,25464321,,,,,,,,,9521,9547,
H7,research-sp10-h7-gas,nullifierGas,25464280,,,,,,,,,9521,9547,
H7,research-sp10-h7-gas,permutationGas,8479493,,,,,,,,,9521,9547,
H7,research-sp10-h7-gas,spongeGas,25454777,,,,,,,,,9521,9547,
H7,research-sp10-h7-gas,syntheticDepth20RootUpdateGas,509794211,,,,,,,,,9521,9547,
H7,research-sp10-h7-gas,zeroTreeConstructorGas,510176906,,,,,,,,,9521,9547,
SP-11,research-sp11-sp-11-foundry-gas,bounded_insert_max,13672838,,,,,,,,,4831,,17008223
SP-11,research-sp11-sp-11-foundry-gas,bounded_insert_median,13605885,,,,,,,,,4831,,17008223
SP-11,research-sp11-sp-11-foundry-gas,bounded_insert_min,13604796,,,,,,,,,4831,,17008223
SP-12,research-sp12-sp-12-foundry-gas,enqueue_max,143822,,,,,,,,,,,
SP-12,research-sp12-sp-12-foundry-gas,enqueue_median,121922,,,,,,,,,,,
SP-12,research-sp12-sp-12-foundry-gas,enqueue_min,121922,,,,,,,,,,,
SP-13,research-sp13-sp-13-digest-width-gas,keccak-pair-512.hash_and_storage_cold_call_gas,45387,,,,,,,,,,,
SP-13,research-sp13-sp-13-digest-width-gas,keccak-pair-512.hash_only_call_gas,1637,,,,,,,,,,,
SP-13,research-sp13-sp-13-digest-width-gas,keccak-pair-512.storage_only_cold_call_gas,44633,,,,,,,,,,,
SP-13,research-sp13-sp-13-digest-width-gas,keccak-pair-trunc-320.hash_and_storage_cold_call_gas,45542,,,,,,,,,,,
SP-13,research-sp13-sp-13-digest-width-gas,keccak-pair-trunc-320.hash_only_call_gas,1440,,,,,,,,,,,
SP-13,research-sp13-sp-13-digest-width-gas,keccak-pair-trunc-320.storage_only_cold_call_gas,44572,,,,,,,,,,,
SP-13,research-sp13-sp-13-digest-width-gas,keccak-pair-trunc-384.hash_and_storage_cold_call_gas,45362,,,,,,,,,,,
SP-13,research-sp13-sp-13-digest-width-gas,keccak-pair-trunc-384.hash_only_call_gas,1480,,,,,,,,,,,
SP-13,research-sp13-sp-13-digest-width-gas,keccak-pair-trunc-384.storage_only_cold_call_gas,44833,,,,,,,,,,,
SP-13,research-sp13-sp-13-digest-width-gas,single-keccak-256-lower-bound.hash_and_storage_cold_call_gas,23277,,,,,,,,,,,
SP-13,research-sp13-sp-13-digest-width-gas,single-keccak-256-lower-bound.hash_only_call_gas,1436,,,,,,,,,,,
SP-13,research-sp13-sp-13-digest-width-gas,single-keccak-256-lower-bound.storage_only_cold_call_gas,22502,,,,,,,,,,,
V1,research-sp31-v1-isolated-benchmark,hornerGas,129454,,,,,,,,,,,
V1,research-sp31-v1-isolated-benchmark,materializedGas,727415,,,,,,,,,,,
V1,research-sp31-v1-isolated-benchmark,streamedGas,128003,,,,,,,,,,,
V2,research-sp31-v2-isolated-benchmark,checkedWitnessGas,857,,,,,,,,,,,
V2,research-sp31-v2-isolated-benchmark,exponentiationGas,9353,,,,,,,,,,,
V3,research-sp31-v3-isolated-benchmark,fusedParseDotGas,210353,,,,,,,,,,,
V3,research-sp31-v3-isolated-benchmark,separateParseDotGas,849780,,,,,,,,,,,
V4,research-sp31-v4-isolated-benchmark,calldataEvaluationGas,127811,,,,,,,,,,,
V4,research-sp31-v4-isolated-benchmark,copiedEvaluationGas,663476,,,,,,,,,,,
V5,research-sp31-v5-isolated-benchmark,checkedCalldataTableGas,89183,,,,,,,,,,,
V5,research-sp31-v5-isolated-benchmark,derivedTableGas,3028,,,,,,,,,,,
V5,research-sp31-v5-isolated-benchmark,fixedTableGas,8652,,,,,,,,,,,
V6,research-sp31-v6-isolated-benchmark,checkedPointsGas,21451,,,,,,,,,,,
V6,research-sp31-v6-isolated-benchmark,exponentiationGas,48640,,,,,,,,,,,
V6,research-sp31-v6-isolated-benchmark,fixedTable8Gas,1748,,,,,,,,,,,
V6,research-sp31-v6-isolated-benchmark,incrementalGas,5005,,,,,,,,,,,
V7,research-sp31-v7-isolated-benchmark,exactFrontierGas,257975,,,,,,,,,,,
V8,research-sp31-v8-isolated-benchmark,packed31Bytes,992,,,,,,,,,,,
V8,research-sp31-v8-isolated-benchmark,section31Gas,238092,,,,,,,,,,,
V8,research-sp31-v8-isolated-benchmark,u32Bytes,1024,,,,,,,,,,,
V8,research-sp31-v8-isolated-benchmark,unpack31Gas,237632,,,,,,,,,,,
V8,research-sp31-v8-isolated-benchmark,unpack32Gas,175167,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airA.10.maxGas,13623798,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airA.12.maxGas,14046222,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airA.13.maxGas,14257434,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airA.14.maxGas,14468646,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airA.15.maxGas,14679858,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airA.16.maxGas,14891070,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airA.8.maxGas,14046069,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airB.10.maxGas,16487292,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airB.12.maxGas,16064868,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airB.13.maxGas,15853656,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airB.14.maxGas,15642444,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airB.15.maxGas,15431232,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airB.16.maxGas,15220020,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airB.8.maxGas,16909716,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op0/n1,13981,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op1/n1,9050,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op10/n1,2553679,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op11/n1,271721,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op12/n1,12066,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op13/n128,1215869,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op13/n256,2439252,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op13/n32,310468,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op13/n64,611112,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op14/n16,42700,,,,,,,,,,,
