candidate_id,run_id,raw_proof_bytes,abi_calldata_bytes,header_bytes,statement_bytes,global_bytes,query_row_bytes,salt_bytes,frontier_bytes,ldt_bytes,final_bytes,continuation_bytes,abi_overhead_bytes,zero_bytes,nonzero_bytes
C10-fri,research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r0,484577,,,,,,,,,,,,,
C10-fri,research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r1,482721,,,,,,,,,,,,,
C10-fri,research-sp50-c10-fri-b4-q32-c16x16-f0-r4-r0,195233,,,,,,,,,,,,,
C10-fri,research-sp50-c10-fri-b4-q32-c16x16-f0-r4-r1,195297,,,,,,,,,,,,,
C10-fri,research-sp50-c10-fri-b4-q48-c16x16-f0-r4-r0,270305,,,,,,,,,,,,,
C10-fri,research-sp50-c10-fri-b4-q48-c16x16-f0-r4-r1,273825,,,,,,,,,,,,,
C20,research-sp51-c20-native-r0,36815,,,,,,,,,,,,,
C20,research-sp51-c20-native-r1,36719,,,,,,,,,,,,,
C30,research-sp52-c30-native,17407,,,,,,,,,,,,,
C00/v03-baseline,v03-corpus-01,212332,213000,,,,,,,,,,668,1386,210946
C00/v03-baseline,v03-corpus-02,202412,203080,,,,,,,,,,668,1343,201069
C00/v03-baseline,v03-corpus-03,209260,209928,,,,,,,,,,668,1324,207936
C00/v03-baseline,v03-corpus-04,207980,208648,,,,,,,,,,668,1331,206649
C00/v03-baseline,v03-corpus-05,208940,209608,,,,,,,,,,668,1338,207602
C00/v03-baseline,v03-corpus-06,213036,213704,,,,,,,,,,668,1368,211668
C00/v03-baseline,v03-corpus-07,206188,206856,,,,,,,,,,668,1326,204862
C00/v03-baseline,v03-corpus-08,213804,214472,,,,,,,,,,668,1357,212447
C00/v03-baseline,v03-corpus-09,206060,206728,,,,,,,,,,668,1386,204674
C00/v03-baseline,v03-corpus-10,208876,209544,,,,,,,,,,668,1342,207534
C00/v03-baseline,v03-corpus-11,208620,209288,,,,,,,,,,668,1300,207320
C00/v03-baseline,v03-corpus-12,203116,203784,,,,,,,,,,668,1306,201810
C00/v03-baseline,v03-corpus-13,211884,212552,,,,,,,,,,668,1351,210533
C00/v03-baseline,v03-corpus-14,207404,208072,,,,,,,,,,668,1360,206044
C00/v03-baseline,v03-corpus-15,208940,209608,,,,,,,,,,668,1340,207600
C00/v03-baseline,v03-corpus-16,211692,212360,,,,,,,,,,668,1405,210287
C00/v03-baseline,v03-corpus-17,203820,204488,,,,,,,,,,668,1310,202510
C00/v03-baseline,v03-corpus-18,211372,212040,,,,,,,,,,668,1361,210011
C00/v03-baseline,v03-corpus-19,207148,207816,,,,,,,,,,668,1344,205804
C00/v03-baseline,v03-corpus-20,213100,213768,,,,,,,,,,668,1408,211692
C00/v03-baseline,v03-corpus-21,205356,206024,,,,,,,,,,668,1377,203979
C00/v03-baseline,v03-corpus-22,206372,207048,,,,,,,,,,676,1323,205049
C00/v03-baseline,v03-corpus-23,206700,207368,,,,,,,,,,668,1406,205294
C00/v03-baseline,v03-corpus-24,210156,210824,,,,,,,,,,668,1332,208824
C00/v03-baseline,v03-corpus-25,210028,210696,,,,,,,,,,668,1345,208683
C00/v03-baseline,v03-corpus-26,213356,214024,,,,,,,,,,668,1432,211924
C00/v03-baseline,v03-corpus-27,211244,211912,,,,,,,,,,668,1380,209864
C00/v03-baseline,v03-corpus-28,210988,211656,,,,,,,,,,668,1428,209560
C00/v03-baseline,v03-corpus-29,210796,211464,,,,,,,,,,668,1343,209453
C00/v03-baseline,v03-corpus-30,212524,213192,,,,,,,,,,668,1359,211165
C00/v03-baseline,v03-fixed-01,212204,212872,,,,,,,,,,668,1322,210882
C00/v03-baseline,v03-fixed-02,208364,209032,,,,,,,,,,668,1340,207024
C00/v03-baseline,v03-fixed-03,212268,212936,,,,,,,,,,668,1305,210963
C00/v03-baseline,v03-fixed-04,212012,212680,,,,,,,,,,668,1405,210607
C00/v03-baseline,v03-fixed-05,209772,210440,,,,,,,,,,668,1392,208380
C00/v03-baseline,v03-fixed-06,198052,198728,,,,,,,,,,676,1336,196716
C00/v03-baseline,v03-fixed-07,209644,210312,,,,,,,,,,668,1331,208313
C00/v03-baseline,v03-fixed-08,207788,208456,,,,,,,,,,668,1331,206457
C00/v03-baseline,v03-fixed-09,207084,207752,,,,,,,,,,668,1420,205664
C00/v03-baseline,v03-fixed-10,212332,213000,,,,,,,,,,668,1438,210894
C00/v03-baseline,v03-fixed-11,207532,208200,,,,,,,,,,668,1344,206188
C00/v03-baseline,v03-fixed-12,209260,209928,,,,,,,,,,668,1389,207871
C00/v03-baseline,v03-fixed-13,210668,211336,,,,,,,,,,668,1406,209262
C00/v03-baseline,v03-fixed-14,204140,204808,,,,,,,,,,668,1325,202815
C00/v03-baseline,v03-fixed-15,207788,208456,,,,,,,,,,668,1359,206429
C00/v03-baseline,v03-fixed-16,210988,211656,,,,,,,,,,668,1354,209634
C00/v03-baseline,v03-fixed-17,207084,207752,,,,,,,,,,668,1345,205739
C00/v03-baseline,v03-fixed-18,211692,212360,,,,,,,,,,668,1325,210367
C00/v03-baseline,v03-fixed-19,201836,202504,,,,,,,,,,668,1317,200519
C00/v03-baseline,v03-fixed-20,201196,201864,,,,,,,,,,668,1421,199775
C00/v03-baseline,v03-fixed-21,213740,214408,,,,,,,,,,668,1393,212347
C00/v03-baseline,v03-fixed-22,209452,210120,,,,,,,,,,668,1330,208122
C00/v03-baseline,v03-fixed-23,207020,207688,,,,,,,,,,668,1330,205690
