candidate_id,run_id,kind,case_id,prove_wall_ms,proof_only_ms,native_verify_ms,peak_rss_bytes,raw_proof_bytes,abi_calldata_bytes,zero_bytes,nonzero_bytes,unique_query_indices,frontier_digests,evm_a_execution_gas,evm_b_execution_gas,evm_a_total_gas,evm_b_total_gas,evm_status
C00/v03-baseline,v03-fixed-01,fixed-baseline,fixed-baseline,680.062166,658.422625,2.313708,29491200,212204,212872,1322,210882,32,NOT_EVALUATED,14992384,12264792,16742112,13943756,PASS
C00/v03-baseline,v03-fixed-02,fixed-baseline,fixed-baseline,572.317458,552.600959,2.143250,29196288,208364,209032,1340,207024,32,NOT_EVALUATED,15102422,12172551,16821322,13820687,PASS
C00/v03-baseline,v03-fixed-03,fixed-baseline,fixed-baseline,358.758125,339.012708,2.188916,29474816,212268,212936,1305,210963,32,NOT_EVALUATED,15125882,12243567,16884718,13914651,PASS
C00/v03-baseline,v03-fixed-04,fixed-baseline,fixed-baseline,272.520250,253.408375,2.149959,27492352,212012,212680,1405,210607,32,NOT_EVALUATED,14990555,12424944,16687687,14152436,PASS
C00/v03-baseline,v03-fixed-05,fixed-baseline,fixed-baseline,489.900500,470.719583,2.156542,26771456,209772,210440,1392,208380,32,NOT_EVALUATED,14917889,12278489,16568521,14016797,PASS
C00/v03-baseline,v03-fixed-06,fixed-baseline,fixed-baseline,799.153083,780.558625,2.054208,27639808,198052,198728,1336,196716,31,NOT_EVALUATED,14935989,11815711,16620761,13333063,PASS
C00/v03-baseline,v03-fixed-07,fixed-baseline,fixed-baseline,768.576250,745.284209,2.161000,29081600,209644,210312,1331,208313,32,NOT_EVALUATED,15096795,12199791,16808479,13875731,PASS
C00/v03-baseline,v03-fixed-08,fixed-baseline,fixed-baseline,608.178250,589.473250,2.113209,28082176,207788,208456,1331,206457,32,NOT_EVALUATED,14999199,12263086,16658947,13961266,PASS
C00/v03-baseline,v03-fixed-09,fixed-baseline,fixed-baseline,682.605708,654.211750,2.316000,31293440,207084,207752,1420,205664,32,NOT_EVALUATED,14973862,12134834,16645226,13809066,PASS
C00/v03-baseline,v03-fixed-10,fixed-baseline,fixed-baseline,608.165000,588.675542,2.237417,29360128,212332,213000,1438,210894,32,NOT_EVALUATED,14852912,12486352,16504120,14264492,PASS
C00/v03-baseline,v03-fixed-11,fixed-baseline,fixed-baseline,1115.278917,1095.418250,2.268416,30572544,207532,208200,1344,206188,32,NOT_EVALUATED,14881198,12201399,16543066,13893207,PASS
C00/v03-baseline,v03-fixed-12,fixed-baseline,fixed-baseline,628.915166,609.030916,2.151458,29294592,209260,209928,1389,207871,32,NOT_EVALUATED,14972764,12217413,16654596,13916365,PASS
C00/v03-baseline,v03-fixed-13,fixed-baseline,fixed-baseline,478.369791,458.723125,2.120250,28508160,210668,211336,1406,209262,32,NOT_EVALUATED,15027962,12285973,16758790,13958253,PASS
C00/v03-baseline,v03-fixed-14,fixed-baseline,fixed-baseline,397.385125,378.681541,2.130458,28360704,204140,204808,1325,202815,32,NOT_EVALUATED,14970107,12066158,16663059,13672838,PASS
C00/v03-baseline,v03-fixed-15,fixed-baseline,fixed-baseline,654.670917,634.983958,2.121458,29229056,207788,208456,1359,206429,32,NOT_EVALUATED,14885107,12324321,16534207,14032813,PASS
C00/v03-baseline,v03-fixed-16,fixed-baseline,fixed-baseline,794.017083,774.571167,2.155500,30851072,210988,211656,1354,209634,32,NOT_EVALUATED,15136812,12304222,16846244,14003642,PASS
C00/v03-baseline,v03-fixed-17,fixed-baseline,fixed-baseline,491.809208,472.121750,2.203959,29900800,207084,207752,1345,205739,32,NOT_EVALUATED,14965519,12211324,16647459,13875880,PASS
C00/v03-baseline,v03-fixed-18,fixed-baseline,fixed-baseline,581.790875,562.482042,2.177292,29999104,211692,212360,1325,210367,32,NOT_EVALUATED,15203830,12160166,16953270,13831178,PASS
C00/v03-baseline,v03-fixed-19,fixed-baseline,fixed-baseline,496.182875,477.411167,2.115709,28639232,201836,202504,1317,200519,32,NOT_EVALUATED,14643477,12383062,16179681,14109710,PASS
C00/v03-baseline,v03-fixed-20,fixed-baseline,fixed-baseline,687.992083,657.347667,2.532458,31653888,201196,201864,1421,199775,32,NOT_EVALUATED,14927251,12043679,16583099,13639207,PASS
C00/v03-baseline,v03-fixed-21,fixed-baseline,fixed-baseline,718.295416,698.464500,2.356917,28508160,213740,214408,1393,212347,32,NOT_EVALUATED,15036168,12293397,16767756,14014225,PASS
C00/v03-baseline,v03-fixed-22,fixed-baseline,fixed-baseline,743.849625,714.937584,2.124417,28459008,209452,210120,1330,208122,32,NOT_EVALUATED,15018881,12228685,16718337,13913793,PASS
C00/v03-baseline,v03-fixed-23,fixed-baseline,fixed-baseline,763.933000,744.761291,2.111250,28983296,207020,207688,1330,205690,32,NOT_EVALUATED,15007139,12141808,16705499,13789100,PASS
C00/v03-baseline,v03-fixed-24,fixed-baseline,fixed-baseline,783.804292,763.408000,2.154625,29884416,202924,203592,1338,201586,32,NOT_EVALUATED,14960473,12130546,16614789,13756250,PASS
C00/v03-baseline,v03-fixed-25,fixed-baseline,fixed-baseline,468.240958,448.515042,2.162000,29523968,207972,208648,1322,206650,31,NOT_EVALUATED,14951083,12161501,16649347,13824249,PASS
C00/v03-baseline,v03-fixed-26,fixed-baseline,fixed-baseline,369.181208,348.913542,2.188834,29425664,210796,211464,1385,209411,32,NOT_EVALUATED,14968519,12302782,16654087,14022622,PASS
C00/v03-baseline,v03-fixed-27,fixed-baseline,fixed-baseline,485.987625,466.872958,2.117916,30130176,204524,205192,1376,203148,32,NOT_EVALUATED,14793721,12313850,16405885,14006850,PASS
C00/v03-baseline,v03-fixed-28,fixed-baseline,fixed-baseline,1066.450084,1046.665542,2.251333,29491200,212588,213256,1379,211209,32,NOT_EVALUATED,15205581,12277102,16946433,13970402,PASS
C00/v03-baseline,v03-fixed-29,fixed-baseline,fixed-baseline,382.583625,361.798042,2.100208,30392320,206444,207112,1325,205119,32,NOT_EVALUATED,14975489,12100242,16656525,13755702,PASS
C00/v03-baseline,v03-fixed-30,fixed-baseline,fixed-baseline,348.450583,327.854292,2.181292,29655040,206828,207496,1339,205489,32,NOT_EVALUATED,14821960,12366607,16424004,14107035,PASS
C00/v03-baseline,v03-corpus-01,semantic-corpus,swc-v1-000,601.772000,581.187167,2.160750,29769728,212332,213000,1386,210946,32,NOT_EVALUATED,15054181,12352236,16768721,14067836,PASS
C00/v03-baseline,v03-corpus-02,semantic-corpus,swc-v1-001,824.831458,804.004125,2.172750,29933568,202412,203080,1343,201069,32,NOT_EVALUATED,15014251,12026735,16710503,13602407,PASS
C00/v03-baseline,v03-corpus-03,semantic-corpus,swc-v1-002,479.793500,458.672500,2.123125,30654464,209260,209928,1324,207936,32,NOT_EVALUATED,14971912,12297228,16666224,13984624,PASS
C00/v03-baseline,v03-corpus-04,semantic-corpus,swc-v1-003,767.585708,748.258375,2.132166,30081024,207980,208648,1331,206649,32,NOT_EVALUATED,14926940,12257047,16616096,13929083,PASS
C00/v03-baseline,v03-corpus-05,semantic-corpus,swc-v1-004,675.422750,654.192709,2.171958,30851072,208940,209608,1338,207602,32,NOT_EVALUATED,14848937,12405243,16506661,14123963,PASS
C00/v03-baseline,v03-corpus-06,semantic-corpus,swc-v1-005,528.498292,507.304333,2.120458,28983296,213036,213704,1368,211668,32,NOT_EVALUATED,15007383,12368028,16708707,14108324,PASS
C00/v03-baseline,v03-corpus-07,semantic-corpus,swc-v1-006,409.109667,388.895167,2.145084,29212672,206188,206856,1326,204862,32,NOT_EVALUATED,14863860,12280979,16514356,13962991,PASS
C00/v03-baseline,v03-corpus-08,semantic-corpus,swc-v1-007,686.437833,665.193917,2.227250,29376512,213804,214472,1357,212447,32,NOT_EVALUATED,15032022,12339973,16767318,14058717,PASS
C00/v03-baseline,v03-corpus-09,semantic-corpus,swc-v1-008,514.347417,491.885208,2.309833,30523392,206060,206728,1386,204674,32,NOT_EVALUATED,15072290,12181406,16771098,13812398,PASS
C00/v03-baseline,v03-corpus-10,semantic-corpus,swc-v1-009,487.261416,466.282209,2.173000,29163520,208876,209544,1342,207534,32,NOT_EVALUATED,15057923,12324303,16749043,14008555,PASS
C00/v03-baseline,v03-corpus-11,semantic-corpus,swc-v1-010,1013.332750,993.309208,2.115916,29245440,208620,209288,1300,207320,32,NOT_EVALUATED,14972421,12176301,16678057,13842445,PASS
C00/v03-baseline,v03-corpus-12,semantic-corpus,swc-v1-011,381.127500,360.489500,2.114667,29818880,203116,203784,1306,201810,32,NOT_EVALUATED,14758480,12202465,16372148,13872429,PASS
C00/v03-baseline,v03-corpus-13,semantic-corpus,swc-v1-012,653.497666,631.753875,2.371459,29884416,211884,212552,1351,210533,32,NOT_EVALUATED,15056479,12318800,16778163,14020508,PASS
C00/v03-baseline,v03-corpus-14,semantic-corpus,swc-v1-013,364.117333,342.940750,2.103625,30179328,207404,208072,1360,206044,32,NOT_EVALUATED,15006321,12168471,16689141,13837255,PASS
C00/v03-baseline,v03-corpus-15,semantic-corpus,swc-v1-014,516.943708,495.941375,2.088875,29851648,208940,209608,1340,207600,32,NOT_EVALUATED,15045124,12166480,16755832,13832168,PASS
C00/v03-baseline,v03-corpus-16,semantic-corpus,swc-v1-015,560.313083,539.275833,2.325333,29868032,211692,212360,1405,210287,32,NOT_EVALUATED,14936028,12329293,16604644,14080349,PASS
C00/v03-baseline,v03-corpus-17,semantic-corpus,swc-v1-016,487.485333,461.650083,2.198250,29949952,203820,204488,1310,202510,32,NOT_EVALUATED,14786753,12241083,16420817,13901687,PASS
C00/v03-baseline,v03-corpus-18,semantic-corpus,swc-v1-017,430.870292,409.949166,2.213375,28917760,211372,212040,1361,210011,32,NOT_EVALUATED,14990419,12217085,16700031,13922529,PASS
C00/v03-baseline,v03-corpus-19,semantic-corpus,swc-v1-018,489.012625,469.359833,2.165625,30228480,207148,207816,1344,205804,32,NOT_EVALUATED,14910486,12189491,16581150,13866359,PASS
C00/v03-baseline,v03-corpus-20,semantic-corpus,swc-v1-019,471.728833,452.098084,2.144292,27213824,213100,213768,1408,211692,32,NOT_EVALUATED,15021113,12395090,16737641,14120750,PASS
C00/v03-baseline,v03-corpus-21,semantic-corpus,swc-v1-020,630.550125,606.990250,2.310417,31408128,205356,206024,1377,203979,32,NOT_EVALUATED,14823672,12338033,16444932,14034949,PASS
C00/v03-baseline,v03-corpus-22,semantic-corpus,swc-v1-021,716.556917,696.337291,2.116083,29360128,206372,207048,1323,205049,31,NOT_EVALUATED,14792012,12379925,16400176,14106861,PASS
C00/v03-baseline,v03-corpus-23,semantic-corpus,swc-v1-022,724.294333,704.171292,2.142958,28459008,206700,207368,1406,205294,32,NOT_EVALUATED,14873074,12330988,16502574,14041228,PASS
C00/v03-baseline,v03-corpus-24,semantic-corpus,swc-v1-023,701.598959,678.084875,2.118083,28901376,210156,210824,1332,208824,32,NOT_EVALUATED,14919694,12331313,16597490,14049513,PASS
C00/v03-baseline,v03-corpus-25,semantic-corpus,swc-v1-024,800.632583,781.190583,2.179708,28917760,210028,210696,1345,208683,32,NOT_EVALUATED,15032463,12265265,16748087,13943409,PASS
C00/v03-baseline,v03-corpus-26,semantic-corpus,swc-v1-025,366.129875,346.399458,2.209500,27688960,213356,214024,1432,211924,32,NOT_EVALUATED,15048354,12311556,16778786,14027072,PASS
C00/v03-baseline,v03-corpus-27,semantic-corpus,swc-v1-026,624.232167,603.772208,2.152750,30605312,211244,211912,1380,209864,32,NOT_EVALUATED,15023480,12387638,16717792,14106130,PASS
C00/v03-baseline,v03-corpus-28,semantic-corpus,swc-v1-027,397.715375,376.995500,2.169791,29409280,210988,211656,1428,209560,32,NOT_EVALUATED,15001663,12246198,16703939,13952078,PASS
C00/v03-baseline,v03-corpus-29,semantic-corpus,swc-v1-028,806.468083,782.630458,2.235167,30326784,210796,211464,1343,209453,32,NOT_EVALUATED,15127429,12286740,16845125,13975148,PASS
C00/v03-baseline,v03-corpus-30,semantic-corpus,swc-v1-029,815.091875,794.275625,2.187875,29622272,212524,213192,1359,211165,32,NOT_EVALUATED,14852250,12361262,16515782,14131266,PASS
